56,16
30,48
9,39
41,63
6,31
58,68
52,70
31,57
55,34
37,43
44,4
24,16
2,24
58,31
30,51
68,33
22,17
54,32
67,52
58,6
0,70
5,69
58,50
64,60
33,69
29,65
32,45
53,58
39,49
27,56
57,26
23,4
15,38
58,28
14,1
45,64
6,41
59,4
12,70
60,66
57,69
6,3
56,25
46,20
28,42
34,61
19,64
61,13
30,40
40,11
1,71
45,2
7,25
48,70
10,23
33,40
36,27
57,51
21,0
49,9
17,35
37,19
58,7
6,12
7,16
50,18
11,56
69,47
66,54
6,36
6,7
13,2
31,29
6,28
42,22
62,25
38,27
6,6
58,36
43,37
8,10
18,70
58,41
35,59
58,44
30,69
26,51
58,3
6,5
3,30
58,14
47,70
16,16
16,25
6,14
65,4
25,53
6,8
23,46
63,26
53,62
1,67
19,2
14,21
62,16
63,51
4,15
20,25
53,22
51,55
6,50
