1	10
1	21
1	49
1	92
1	105
1	153
2	16
2	40
2	44
2	69
2	71
2	76
2	83
2	89
2	108
2	158
2	160
3	11
3	18
3	44
3	51
3	89
3	140
3	145
3	155
3	157
3	158
3	167
4	57
4	119
4	141
5	2
5	6
5	7
5	11
5	22
5	27
5	42
5	46
5	52
5	54
5	71
5	79
5	81
5	83
5	85
5	86
5	90
5	97
5	102
5	106
5	108
5	115
5	128
5	154
5	158
5	160
5	170
5	180
5	182
6	5
6	38
6	52
6	68
6	73
6	74
6	79
6	83
6	84
6	95
6	108
6	129
6	148
7	2
7	17
7	23
7	27
7	28
7	35
7	47
7	51
7	60
7	64
7	79
7	83
7	85
7	90
7	94
7	100
7	103
7	108
7	114
7	116
7	127
7	137
7	141
7	150
7	158
7	160
7	169
7	172
7	175
7	177
8	22
8	28
8	33
8	54
8	77
8	95
8	97
8	150
8	162
8	179
9	28
9	34
9	66
9	96
9	99
9	104
9	109
9	113
9	114
9	125
9	152
9	171
10	1
10	14
10	21
10	31
10	49
10	56
10	84
10	92
10	93
10	105
10	120
10	122
10	130
10	132
10	143
10	153
11	46
11	82
11	85
11	102
11	157
11	158
11	180
12	23
12	28
12	30
12	39
12	47
12	51
12	52
12	57
12	66
12	71
12	79
12	93
12	97
12	113
12	115
12	124
12	130
12	141
12	146
12	154
12	156
12	158
12	161
12	163
12	164
12	166
12	170
12	174
13	34
13	35
13	38
13	39
13	58
13	59
13	64
13	74
13	83
13	108
13	124
13	147
13	148
13	164
13	173
14	10
14	31
14	56
14	80
14	92
14	105
14	120
14	130
14	132
14	143
14	149
15	42
15	91
15	131
15	160
15	173
16	2
16	37
16	40
16	69
16	71
16	76
16	121
17	7
17	20
17	33
17	48
17	50
17	63
17	65
17	83
17	84
17	85
17	86
17	94
17	97
17	117
17	119
17	121
17	126
17	127
17	133
17	139
17	141
17	150
17	165
18	3
18	4
18	11
18	23
18	25
18	27
18	46
18	50
18	57
18	66
18	76
18	82
18	85
18	89
18	91
18	93
18	96
18	98
18	117
18	135
18	144
18	152
18	156
18	157
18	158
18	167
18	173
18	176
18	180
18	183
19	33
19	41
19	65
19	87
19	122
20	10
20	60
20	84
20	85
20	149
21	1
21	10
21	14
21	56
22	8
22	35
22	77
22	134
22	150
23	7
23	30
23	40
23	51
23	57
23	61
23	66
23	98
23	100
23	107
23	115
23	116
23	138
23	144
23	146
23	161
23	165
23	169
23	170
23	177
24	34
24	52
24	95
24	96
24	99
24	104
24	125
24	152
24	159
24	162
24	171
24	178
25	23
25	40
25	81
25	144
25	154
25	174
26	9
26	96
26	99
26	104
26	109
26	114
26	125
26	159
26	168
26	171
26	178
27	37
27	42
27	57
27	62
27	81
27	91
27	116
27	127
27	142
27	168
27	172
28	7
28	8
28	22
28	24
28	39
28	47
28	52
28	57
28	58
28	59
28	64
28	67
28	68
28	71
28	79
28	83
28	84
28	85
28	95
28	97
28	108
28	113
28	124
28	129
28	130
28	141
28	146
28	147
28	148
28	154
28	155
28	158
28	162
28	164
28	174
28	179
29	33
29	35
29	84
29	108
29	122
29	134
29	154
29	184
30	2
30	7
30	11
30	23
30	50
30	51
30	61
30	66
30	69
30	93
30	98
30	100
30	103
30	107
30	111
30	116
30	158
30	161
30	163
30	166
30	169
30	172
30	173
30	175
30	177
31	10
31	14
31	56
31	92
31	120
31	130
31	143
31	149
31	184
32	152
32	162
33	8
33	17
33	22
33	29
33	36
33	39
33	45
33	65
33	78
33	86
33	87
33	101
33	122
33	134
33	150
34	9
34	13
34	24
34	26
34	38
34	39
34	51
34	58
34	59
34	64
34	93
34	96
34	99
34	104
34	109
34	110
34	113
34	115
34	116
34	123
34	125
34	147
34	152
34	159
34	162
34	164
34	168
34	170
34	171
34	178
35	13
35	22
35	28
35	29
35	31
35	38
35	39
35	52
35	64
35	73
35	74
35	83
35	108
35	134
35	135
35	145
35	147
35	159
35	168
35	173
35	182
36	8
36	22
36	45
36	77
36	78
36	139
36	150
37	5
37	16
37	42
37	50
37	79
37	81
37	83
37	102
37	128
37	135
37	168
37	170
38	9
38	13
38	28
38	30
38	34
38	35
38	39
38	51
38	52
38	58
38	70
38	74
38	75
38	83
38	86
38	93
38	106
38	108
38	111
38	124
38	156
38	163
38	166
38	170
38	173
39	12
39	13
39	22
39	28
39	36
39	38
39	51
39	52
39	59
39	66
39	83
39	84
39	93
39	97
39	108
